"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"poblacion"
"152";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2017;38,612
"153";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2018;38,9679109364767
"154";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2019;39,0983290488432
"155";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2020;39,2564750473784
"156";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2021;39,6706549118388
"157";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2022;39,9455351488284
"158";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2023;40,2014021669853
"159";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2024;40,6245186136072
"160";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2025;41,0666235446313
"161";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2026;41,51629726206
"162";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2027;42,1458607095926
"163";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2028;42,3172185430464
"164";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2029;42,7414829659319
"165";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2030;43,1185185185185
"166";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2031;43,3790760869565
"167";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2032;43,8184931506849
"168";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2033;44,2142363510712
"169";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2034;44,6571428571429
"170";1;"Tarapacá";14;"Tamarugal";1403;"Colchane";2035;44,963406052076
"171";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2002;31,8344168260038
"172";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2003;32,19189511323
"173";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2004;32,6903121199838
"174";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2005;33,0575745202123
"175";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2006;33,3351020408163
"176";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2007;33,7174177831912
"177";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2008;33,9468385018123
"178";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2009;34,3827751196172
"179";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2010;34,4447077409163
"180";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2011;34,7281591263651
"181";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2012;35,060092449923
"182";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2013;35,4458841463415
"183";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2014;35,7581009796534
"184";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2015;36,1147113594041
"185";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2016;36,4078171091445
"186";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2017;36,9144832605531
"187";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2018;37,0842179759377
"188";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2019;37,324982841455
"189";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2020;37,3716666666667
"190";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2021;37,6526454157082
"191";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2022;38,0564805746001
"192";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2023;38,4457792207792
"193";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2024;38,8423263327948
"194";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2025;39,3098682095789
"195";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2026;39,7104
"196";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2027;40,1063694267516
"197";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2028;40,6511406844106
"198";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2029;41,01261829653
"199";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2030;41,4536891679749
"200";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2031;41,7978125
"201";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2032;42,2634525660964
"202";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2033;42,58173374613
"203";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2034;42,9577681874229
"204";1;"Tarapacá";14;"Tamarugal";1404;"Huara";2035;43,4986192083461
"205";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2002;33,0660220994475
"206";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2003;33,4305402425579
"207";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2004;33,6985632962863
"208";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2005;33,9104595879556
"209";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2006;34,1854983346144
"210";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2007;34,3692040664518
"211";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2008;34,5047961630695
"212";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2009;34,6027397260274
"213";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2010;34,718018018018
"214";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2011;34,798209215986
"215";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2012;34,9236803052788
"216";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2013;35,1024581697996
"217";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2014;35,2496476746527
"218";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2015;35,3656379005308
"219";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2016;35,5188461538462
"220";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2017;35,7712406015038
"221";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2018;35,980814479638
"222";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2019;36,078864902507
"223";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2020;36,2752601544142
"224";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2021;36,538866064092
"225";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2022;36,8927818329278
"226";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2023;37,3403948001926
"227";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2024;37,7195994277539
"228";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2025;38,1261814744801
"229";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2026;38,514526710403
"230";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2027;38,9328890266584
"231";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2028;39,3770769230769
"232";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2029;39,8355745721271
"233";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2030;40,1914958238421
"234";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2031;40,6054658009965
"235";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2032;41,0306352305151
"236";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2033;41,3940526001195
"237";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2034;41,7820589110384
"238";1;"Tarapacá";14;"Tamarugal";1405;"Pica";2035;42,1846199436954
"239";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2002;29,9574829422283
"240";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2003;30,198731092492
"241";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2004;30,4403215253762
"242";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2005;30,6817075376789
"243";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2006;30,9150007501313
"244";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2007;31,1241977268672
"245";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2008;31,3121981791593
"246";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2009;31,4947640155365
"247";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2010;31,6631447921957
"248";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2011;31,8353252999512
"249";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2012;32,0198130021581
"250";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2013;32,2015392244483
"251";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2014;32,384821878433
"252";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2015;32,5597271751737
"253";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2016;32,7528715702541
"254";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2017;32,9800385184797
"255";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2018;33,1538492666678
"256";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2019;33,263709822755
"257";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2020;33,3803723060661
"258";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2021;33,612583926661
"259";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2022;33,9039195401511
"260";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2023;34,2051830076766
"261";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2024;34,5103044053696
"262";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2025;34,8167406042609
"263";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2026;35,1230408603106
"264";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2027;35,4288679828629
"265";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2028;35,736182741518
"266";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2029;36,0440260086201
"267";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2030;36,3527040615763
"268";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2031;36,6736079908755
"269";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2032;36,9831753040031
"270";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2033;37,2946266006269
"271";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2034;37,6044744168412
"272";2;"Antofagasta";21;"Antofagasta";2101;"Antofagasta";2035;37,9168722464157
