"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"mayor";"otros";"menores_porcentaje"
"21";1;"Tarapacá";11;"Iquique";1101;"Iquique";2022;35136;193936;0,181173170530484
"22";1;"Tarapacá";11;"Iquique";1101;"Iquique";2023;36451;194144;0,187752389978573
"23";1;"Tarapacá";11;"Iquique";1101;"Iquique";2024;37741;194221;0,194319872722311
"24";1;"Tarapacá";11;"Iquique";1101;"Iquique";2025;38976;194252;0,200646582789366
"25";1;"Tarapacá";11;"Iquique";1101;"Iquique";2026;40156;194251;0,206722230516188
"26";1;"Tarapacá";11;"Iquique";1101;"Iquique";2027;41279;194213;0,212544989264364
"27";1;"Tarapacá";11;"Iquique";1101;"Iquique";2028;42349;194132;0,218145385613912
"28";1;"Tarapacá";11;"Iquique";1101;"Iquique";2029;43437;193942;0,223969021666271
"29";1;"Tarapacá";11;"Iquique";1101;"Iquique";2030;44578;193595;0,230264211369095
"30";1;"Tarapacá";11;"Iquique";1101;"Iquique";2031;45734;193168;0,236757641017146
"31";1;"Tarapacá";11;"Iquique";1101;"Iquique";2032;46901;192639;0,243465757193507
"32";1;"Tarapacá";11;"Iquique";1101;"Iquique";2033;48088;192001;0,250457028869641
"33";1;"Tarapacá";11;"Iquique";1101;"Iquique";2034;49292;191252;0,257733252462719
"34";1;"Tarapacá";11;"Iquique";1101;"Iquique";2035;50494;190411;0,26518425931275
"35";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2002;2041;51584;0,0395665322580645
"36";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2003;2697;61109;0,0441342519105205
"37";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2004;3233;67829;0,0476639785342553
"38";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2005;3668;72458;0,0506224295453918
"39";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2006;4031;75893;0,0531142529614062
"40";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2007;4361;78744;0,0553819973585289
"41";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2008;4678;81364;0,0574947151074185
"42";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2009;4988;83889;0,0594595238946703
"43";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2010;5307;86347;0,0614613130739921
"44";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2011;5657;88960;0,0635903776978417
"45";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2012;6024;91630;0,0657426607006439
"46";1;"Tarapacá";11;"Iquique";1107;"Alto Hospicio";2013;6410;94156;0,0680785080079867
